일,,,,
2019년 3월 1일 - 2019년 3월 18일,,,,
일,통화,노출수,클릭수,비용
2019-03-01,KRW,"1,101",46,"59,042.00"
2019-03-02,KRW,"1,320",54,"50,201.00"
2019-03-03,KRW,715,25,"24,250.00"
2019-03-04,KRW,611,21,"27,814.00"
2019-03-05,KRW,678,23,"30,241.00"
2019-03-06,KRW,"1,060",42,"42,878.00"
2019-03-07,KRW,"1,958",71,"82,421.00"
2019-03-08,KRW,"1,739",75,"84,115.00"
2019-03-09,KRW,"1,041",45,"51,147.00"
2019-03-10,KRW,"1,187",37,"44,621.00"
2019-03-11,KRW,"1,875",91,"103,210.00"
2019-03-12,KRW,"1,842",71,"90,104.00"
2019-03-13,KRW,"1,635",69,"86,840.00"
2019-03-14,KRW,"1,648",60,"69,689.00"
2019-03-15,KRW,"1,450",69,"80,153.00"
2019-03-16,KRW,908,34,"45,435.00"
2019-03-17,KRW,"1,100",39,"50,550.00"
2019-03-18,KRW,"2,013",75,"93,587.00"
