일,노출,클릭(전체),"지출 금액 (KRW)","보고 시작","보고 종료"
2019-02-01,14806,447,197253,2019-02-01,2019-02-01
2019-02-02,2146,60,25195,2019-02-02,2019-02-02
2019-02-09,12751,382,192057,2019-02-09,2019-02-09
2019-02-10,10665,362,161204,2019-02-10,2019-02-10
2019-02-11,10490,345,159854,2019-02-11,2019-02-11
2019-02-12,9813,292,154807,2019-02-12,2019-02-12
2019-02-13,8987,339,156757,2019-02-13,2019-02-13
2019-02-14,8914,255,157330,2019-02-14,2019-02-14
2019-02-15,8024,239,153748,2019-02-15,2019-02-15
2019-02-16,7486,130,141447,2019-02-16,2019-02-16
2019-02-17,8835,172,161083,2019-02-17,2019-02-17
2019-02-18,7610,171,148920,2019-02-18,2019-02-18
2019-02-19,7534,303,152863,2019-02-19,2019-02-19
2019-02-20,7436,226,155352,2019-02-20,2019-02-20
2019-02-21,7538,204,154180,2019-02-21,2019-02-21
2019-02-22,187,3,4368,2019-02-22,2019-02-22
